name,job_url,hiring_firm,hiring_firm_url,job_function,title,date_posted,Location,Job type,Industry,Salary,details,info
Dispatch Rider,https://www.jobberman.com.gh/listings/dispatch-rider-np697w,Dispatch Rider,https://www.jobberman.com.gh/jobs?q=Dispatch%20Rider,Job Function: Driver & Transport Services,Dispatch Rider,,Accra & Tema Region,Full Time,Driver & Transport Services,"GHS 1,200 - 1,500",[],[]
Dispatch Rider,https://www.jobberman.com.gh/listings/dispatch-rider-np697w,Dispatch Rider,https://www.jobberman.com.gh/jobs?q=Dispatch%20Rider,,Dispatch Rider,,,Full Time,,,[],[]
Senior Marketing Manager,https://www.jobberman.com.gh/listings/senior-marketing-manager-4nk5n2,Senior Marketing Manager,https://www.jobberman.com.gh/jobs?q=Senior%20Marketing%20Manager,Job Function: Marketing & Communications,Senior Marketing Manager,,Accra & Tema Region,Full Time,Marketing & Communications,Confidential,[],[]
Senior Marketing Manager,https://www.jobberman.com.gh/listings/senior-marketing-manager-4nk5n2,Senior Marketing Manager,https://www.jobberman.com.gh/jobs?q=Senior%20Marketing%20Manager,,Senior Marketing Manager,,,Full Time,,,[],[]
"School Vacancies(Teachers, Cleaners and Security)",https://www.jobberman.com.gh/listings/school-vacanciesteachers-cleaners-and-security-846m40,"School Vacancies(Teachers, Cleaners and Security)","https://www.jobberman.com.gh/jobs?q=School%20Vacancies(Teachers,%20Cleaners%20and%20Security)","Job Function: Research, Teaching & Training","School Vacancies(Teachers, Cleaners and Security)",,Accra & Tema Region,Full Time,"Research, Teaching & Training",Confidential,[],[]
"School Vacancies(Teachers, Cleaners and Security)",https://www.jobberman.com.gh/listings/school-vacanciesteachers-cleaners-and-security-846m40,"School Vacancies(Teachers, Cleaners and Security)","https://www.jobberman.com.gh/jobs?q=School%20Vacancies(Teachers,%20Cleaners%20and%20Security)",,"School Vacancies(Teachers, Cleaners and Security)",,"School Vacancies(Teachers, Cleaners and Security)",Full Time,,,[],[]
A Reputable School is looking for the following:,https://www.jobberman.com.gh/jobs?q=Rohi%20King%20Jesus%20School,,,,A Reputable School is looking for the following:,,A Reputable School is looking for the following:,Full Time,,,[],[]
Order By,https://www.jobberman.com.gh/jobs,Order By,https://www.jobberman.com.gh/jobs?q=Order%20By,,Order By,,,Full Time,,,[],[]
Companies Hiring,https://www.jobberman.com.gh/about,Companies Hiring,https://www.jobberman.com.gh/jobs?q=Companies%20Hiring,,Companies Hiring,,,Full Time,,,[],[]
Job Seekers,https://www.jobberman.com.gh,Job Seekers,https://www.jobberman.com.gh/jobs?q=Job%20Seekers,,Job Seekers,,,Full Time,,,[],[]
